GENE_SYMBOL,control,low_dose,high_dose
0610005C13Rik,12.481333333333334,12.184333333333335,12.5025
0610007C21Rik,12.595,12.443000000000003,12.629
0610007L01Rik,10.904833333333334,11.068583333333335,10.878166666666667
0610007N19Rik,7.918500000000001,8.021666666666667,7.944166666666665
0610007P08Rik,6.565277777777776,6.635833333333334,6.583388888888888
0610007P14Rik,13.556333333333333,13.718666666666666,13.451666666666668
0610007P22Rik,10.402666666666667,10.354166666666666,10.127666666666668
0610008F07Rik,9.009666666666666,8.217,8.994666666666665
0610009B22Rik,10.792166666666667,10.930000000000001,10.838416666666667
0610009D07Rik,12.231500000000002,12.213166666666666,12.162
0610009O20Rik,6.6925,6.777166666666666,6.752722222222222
0610010F05Rik,6.647500000000001,6.642055555555555,6.651777777777777
0610010K14Rik,8.872166666666667,8.943333333333333,9.084166666666667
0610010O12Rik,6.152333333333334,6.4435,6.265833333333333
0610011F06Rik,12.804666666666668,12.824166666666668,12.845500000000001
0610011L14Rik,7.209166666666667,7.316666666666666,7.096666666666667
0610012G03Rik,9.278833333333333,9.231333333333334,9.237666666666668
0610012H03Rik,8.010833333333334,8.693166666666666,8.592833333333333
0610030E20Rik,8.603777777777779,8.586333333333334,8.63061111111111
0610031J06Rik,10.418999999999999,10.480666666666666,10.494833333333334
0610037L13Rik,8.988999999999999,9.171916666666666,9.059750000000001
0610040B10Rik,6.2475,6.1723333333333334,6.370333333333332
0610040J01Rik,12.582,12.650500000000001,12.587166666666667
0610042G04Rik,7.9383333333333335,7.7651666666666666,7.719166666666666
0710001D07Rik,7.1898333333333335,7.146166666666666,7.512166666666666
0910001L09Rik,12.215666666666666,12.300833333333335,12.137999999999998
1100001G20Rik,14.253333333333332,14.541166666666669,14.640500000000001
1110001A16Rik,10.159666666666668,10.323333333333332,10.357833333333334
1110001J03Rik,13.668833333333334,13.690833333333332,13.621166666666667
1110002B05Rik,11.637166666666667,11.470999999999998,11.689333333333332
1110002N22Rik,8.636333333333333,8.2445,8.466
1110003E01Rik,10.138416666666666,10.115666666666668,10.164416666666668
1110004E09Rik,11.273166666666668,11.277666666666667,11.380166666666666
1110004F10Rik,11.315833333333332,11.379833333333332,11.3985
1110005A03Rik,9.802166666666666,9.631333333333332,9.814833333333333
